,endTime,artistName,trackName,year,month,seconds_played,minutes_played
858,2021-04-01 19:44:00-03:00,Average White Band,School Boy Crush,2021,4,299.533,4.992216666666667
859,2021-04-01 20:07:00-03:00,The Meters,Love Slip Upon Ya,2021,4,86.546,1.4424333333333335
875,2021-04-03 10:34:00-03:00,EDX,Remember House - Radio Edit,2021,4,37.73,0.6288333333333332
882,2021-04-03 15:52:00-03:00,Route 8,Relaxed,2021,4,372.72,6.212000000000001
921,2021-04-03 16:31:00-03:00,Daft Punk,Instant Crush (feat. Julian Casablancas),2021,4,55.143,0.91905
923,2021-04-03 19:04:00-03:00,Mac DeMarco,All Of Our Yesterdays,2021,4,69.86,1.1643333333333332
925,2021-04-04 10:52:00-03:00,Mac DeMarco,Salad Days,2021,4,145.893,2.43155
927,2021-04-04 10:59:00-03:00,Mac DeMarco,Chamber Of Reflection,2021,4,210.77,3.5128333333333335
928,2021-04-04 11:03:00-03:00,Swim Mountain,Same Mistake,2021,4,238.74,3.979
932,2021-04-04 11:07:00-03:00,Tomppabeats,Smoking at Midnight,2021,4,95.921,1.5986833333333335
934,2021-04-04 11:11:00-03:00,Swim Mountain,Yesterday,2021,4,210.625,3.5104166666666665
937,2021-04-04 11:43:00-03:00,Khruangbin,Dern Kala,2021,4,219.84,3.664
948,2021-04-04 17:32:00-03:00,Khruangbin,Friday Morning,2021,4,410.9,6.848333333333333
951,2021-04-04 17:42:00-03:00,Shintaro Sakamoto,まともがわからない,2021,4,137.706,2.2950999999999997
958,2021-04-05 16:20:00-03:00,Hector Gachan,Derby Daze,2021,4,173.62,2.893666666666667
960,2021-04-05 16:34:00-03:00,Depeche Mode,Enjoy the Silence,2021,4,255.133,4.2522166666666665
961,2021-04-05 16:38:00-03:00,Depeche Mode,Personal Jesus - Single Version,2021,4,224.933,3.748883333333333
962,2021-04-05 16:42:00-03:00,Depeche Mode,Precious,2021,4,250.16,4.169333333333333
963,2021-04-05 16:46:00-03:00,The Cure,Lullaby - Remastered,2021,4,248.186,4.136433333333334
964,2021-04-05 16:47:00-03:00,Depeche Mode,It's No Good,2021,4,47.356,0.7892666666666667
965,2021-04-05 16:52:00-03:00,The Cure,Last Dance - Remastered,2021,4,283.88,4.731333333333334
966,2021-04-05 16:58:00-03:00,The Cure,Untitled - Remastered,2021,4,390.213,6.503550000000001
967,2021-04-05 18:12:00-03:00,Tears For Fears,Everybody Wants To Rule The World,2021,4,251.488,4.191466666666667
969,2021-04-05 18:24:00-03:00,Tears For Fears,"Head Over Heels - Dave Bascombe 7"" N.Mix",2021,4,257.315,4.288583333333333
970,2021-04-05 18:31:00-03:00,Tears For Fears,Shout,2021,4,393.666,6.5611
973,2021-04-05 18:44:00-03:00,Depeche Mode,Strangelove,2021,4,225.88,3.7646666666666664
974,2021-04-05 18:49:00-03:00,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,2021,4,296.146,4.935766666666667
975,2021-04-05 18:54:00-03:00,Grateful Dead,Shakedown Street - 2013 Remaster,2021,4,300.209,5.0034833333333335
979,2021-04-05 19:44:00-03:00,Vulfpeck,Disco Ulysses (Instrumental),2021,4,231.084,3.8514
980,2021-04-05 20:38:00-03:00,The Fearless Flyers,Barbara,2021,4,30.795,0.51325
988,2021-04-06 09:42:00-03:00,Pete Rock,A Little Soul,2021,4,341.2,5.6866666666666665
989,2021-04-06 09:44:00-03:00,FloFilz,Dulce,2021,4,131.558,2.192633333333333
990,2021-04-06 09:47:00-03:00,Emapea,Jazzy,2021,4,180.737,3.0122833333333334
991,2021-04-06 09:50:00-03:00,Jazz Spastiks,(Never Been To) California,2021,4,150.026,2.5004333333333335
992,2021-04-06 15:37:00-03:00,Flamingosis,Believe in Me,2021,4,147.547,2.4591166666666666
993,2021-04-06 15:39:00-03:00,Mac Miller,What's the Use?,2021,4,133.97,2.2328333333333332
994,2021-04-06 15:43:00-03:00,The Meters,Africa,2021,4,238.213,3.9702166666666665
995,2021-04-06 15:48:00-03:00,Khruangbin,August 10,2021,4,265.41,4.423500000000001
997,2021-04-06 16:41:00-03:00,The Meters,Sophisticated Cissy,2021,4,176.693,2.9448833333333337
998,2021-04-06 16:45:00-03:00,Vulfpeck,Beastly,2021,4,250.65,4.1775
1002,2021-04-07 11:09:00-03:00,The Greyboy Allstars,Soul Dream,2021,4,313.026,5.2171
1003,2021-04-07 11:14:00-03:00,The Marcus King Band,Rita Is Gone,2021,4,265.586,4.426433333333334
1004,2021-04-07 11:17:00-03:00,Swim Mountain,Wait for Me,2021,4,186.983,3.1163833333333333
1005,2021-04-07 11:20:00-03:00,Swim Mountain,Yesterday,2021,4,210.625,3.5104166666666665
1006,2021-04-07 11:29:00-03:00,Soulive,Alkime,2021,4,421.853,7.030883333333334
1008,2021-04-07 12:03:00-03:00,The Meters,Love Slip Upon Ya,2021,4,299.44,4.990666666666667
1010,2021-04-07 15:55:00-03:00,The Meters,Come Together,2021,4,189.666,3.1611
1011,2021-04-07 16:00:00-03:00,CHIC,What About Me,2021,4,254.16,4.236
