endTime,artistName,trackName,msPlayed
2021-12-02 18:58,Nikitch,ZBRA,269150
2021-12-02 19:14,Boris Brejcha,House Music (feat. Arctic Lake) - Edit,12650
2021-12-02 19:14,Ben Hauke,Get up to Get Down,192150
2021-12-02 19:17,Folamour,Just a Lonely Night Eating Sushis,174760
2021-12-03 19:37,Pimps of Joytime,Mud featuring Ivan Neville,1640
2021-12-03 22:41,Folamour,Just a Lonely Night Eating Sushis,10700
2021-12-03 22:47,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),285820
2021-12-03 22:52,Al Green,Love and Happiness,307062
2021-12-03 22:52,True Loves,Shambling,5277
2021-12-03 22:57,John Mayer,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",319933
2021-12-03 23:04,Red Hot Chili Peppers,If You Want Me To Stay,3606
2021-12-04 13:54,CHIC,What About Me,254160
2021-12-04 20:42,Talking Heads,Take Me to the River - 2005 Remaster,251770
2021-12-04 20:43,Red Hot Chili Peppers,Pea,107306
2021-12-04 20:54,Fishbone,Bonin' In the Boneyard,8290
2021-12-04 20:55,Green Day,Armatage Shanks,23420
2021-12-04 21:05,Green Day,Green Day,32270
2021-12-04 21:35,CHIC,What About Me,6480
2021-12-04 23:11,Ian Dury,Hit Me With Your Rhythm Stick,115200
2021-12-05 13:47,Pinback,Sender,298560
2021-12-05 13:52,Pinback,BBTone,2760
2021-12-05 13:52,Pinback,Crutch,272200
2021-12-05 13:56,Pinback,Walters,240160
2021-12-05 14:01,Pinback,AFK,313426
2021-12-05 14:04,Pinback,Boo,440
2021-12-05 14:04,Pinback,Proceed to Memory,147733
2021-12-05 14:04,Pinback,Lyon,600
2021-12-05 14:07,Pinback,The Yellow Ones,216640
2021-12-05 14:12,Pinback,Microtonic Wave,297866
2021-12-05 14:15,Pinback,Offline P.K.,197680
2021-12-05 14:25,Pinback,Bouquet,294403
2021-12-05 14:25,Pinback,Offcell,6460
2021-12-05 14:25,Pinback,Chaos Engine,1520
2021-12-05 14:25,Pinback,Autumn of the Seraphs,3500
2021-12-05 14:26,Pinback,True North,39850
2021-12-05 14:31,Pinback,I'm A Pretty Lady,10339
2021-12-05 14:31,Pinback,ROJI (Roshomon Effect),295140
2021-12-05 14:31,Pinback,June,5090
2021-12-05 14:35,Pinback,Glide,238880
2021-12-05 14:39,Pinback,Messenger,236225
2021-12-05 14:40,Pinback,Kylie,45684
2021-12-05 14:40,Pinback,b,2300
2021-12-05 14:44,Pinback,Drawstring,224480
2021-12-05 14:55,Pinback,Anti-Hu,269975
2021-12-05 14:56,Pinback,Some Voices,74464
2021-12-05 14:56,Pinback,Sherman,4250
2021-12-05 15:01,Pinback,Clemenceau,300773
2021-12-05 20:21,Pinback,Manchuria,158316
2021-12-05 20:26,Pinback,Fortress,250226
2021-12-05 20:29,Pinback,Penelope,12630
2021-12-05 20:29,Pinback,Loro,206233
2021-12-05 20:34,The Brothers Johnson,Strawberry Letter 23,299066
2021-12-05 20:40,Oddisee,Beach Dr.,322857
2021-12-05 20:44,Ikebe Shakedown,Dram,243693
2021-12-05 20:46,The Greyboy Allstars,V-Neck Sweater,155280
2021-12-05 21:45,Billy Cobham,Red Baron,385492
2021-12-05 21:48,The Meters,Cissy Strut,186853
2021-12-05 21:51,Galactic,Goodnight,199526
2021-12-06 12:54,Doctorfunk,What's My Cut?,0
2021-12-06 12:54,Doctorfunk,Right Here,900
2021-12-06 12:54,James Brown,The Boss,860
2021-12-06 12:54,Willy Crook,Fool Times,860
2021-12-06 12:54,Charlie Hunter,Fine Corinthian Leather,690
2021-12-06 12:54,Galactic,Goodnight,510
2021-12-06 14:25,Doctorfunk,Right Here,235300
2021-12-06 14:26,Al Green,Take Me to the River,27740
2021-12-06 14:44,CHIC,What About Me,254160
2021-12-06 14:48,The Temptations,Shakey Ground,241600
2021-12-06 14:51,Cannonball Adderley,"Mercy, Mercy, Mercy",970
2021-12-06 14:51,Michael Jackson,Beat It,153070
2021-12-06 14:55,Al Green,Love and Happiness,830
2021-12-06 14:55,Macy Gray,Sugar Daddy,1190
2021-12-06 14:55,The Brothers Johnson,Stomp! - Single Version,1610
2021-12-06 14:55,Kool & The Gang,Ladies Night,240070
2021-12-06 14:55,Average White Band,Pick up the Pieces,770
2021-12-06 14:55,Patrice Rushen,Haven't You Heard,1920
2021-12-06 14:57,Tower Of Power,Down to the Nightclub,116800
2021-12-06 14:57,Patrice Rushen,To Each His Own,2180
2021-12-06 14:57,dreamcastmoe,Liquid Deep,1470
2021-12-06 15:01,Rufus & Chaka Khan,You Got The Love,278440
2021-12-06 15:03,Patrice Rushen,Forget Me Nots - Remastered,0
2021-12-06 15:03,T-Connection,Girl Watching,90500
2021-12-06 15:03,The Brothers Johnson,I'll Be Good To You,550
2021-12-06 15:03,The Meters,Africa,570
2021-12-06 15:06,Roger,"So Ruff, so Tuff",12120
2021-12-06 15:06,Herbie Hancock,Stars in Your Eyes,183110
2021-12-06 15:06,Eddie Hazel,California Dreamin',1130
2021-12-06 15:09,Steely Dan,Only A Fool Would Say That,176266
2021-12-06 15:12,Jeff Beck,Come Dancing,145363
2021-12-06 15:12,Kool & The Gang,Jungle Jazz,770
2021-12-06 15:12,Parliament,Unfunky UFO,280
2021-12-06 15:12,Funkadelic,Can You Get To That,700
2021-12-06 15:15,CAKE,Thrills,178973
2021-12-06 15:19,Nathan Haines,Fm,278120
2021-12-06 15:23,Quincy Jones,Dead End,235093
